value	HGNC ID
AHNAK2	HGNC:20125
AHR	HGNC:348
AHRR	HGNC:346
AHSA1	HGNC:1189
AHSA2P	HGNC:20437
AHSG	HGNC:349
AHSP	HGNC:18075
AICDA	HGNC:13203
AIDA	HGNC:25761
AIDAP1	HGNC:54663
AIDAP2	HGNC:54664
AIDAP3	HGNC:54665
AIF1	HGNC:352
AIF1L	HGNC:28904
AIFM1	HGNC:8768
AIFM1P1	HGNC:44884
AIFM2	HGNC:21411
AIFM3	HGNC:26398
AIG1	HGNC:21607
AIG1P1	HGNC:43926
AIM2	HGNC:357
AIMP1	HGNC:10648
AIMP1P1	HGNC:16543
AIMP1P2	HGNC:43693
AIMP2	HGNC:20609
AIP	HGNC:358
AIPL1	HGNC:359
AIRE	HGNC:360
AIRN	HGNC:34515
AJAP1	HGNC:30801
AJM1	HGNC:37284
AJUBA	HGNC:20250
AJUBA-DT	HGNC:55449
AK1	HGNC:361
AK2	HGNC:362
AK2P1	HGNC:24037
AK2P2	HGNC:33542
AK3	HGNC:17376
AK3P2	HGNC:31099
AK3P3	HGNC:39062
AK3P4	HGNC:39063
AK3P5	HGNC:39064
AK3P6	HGNC:39065
AK3P7	HGNC:56418
AK4	HGNC:363
AK4P1	HGNC:364
AK4P2	HGNC:39066
AK4P3	HGNC:21596
AK4P4	HGNC:39067
AK4P5	HGNC:39068
AK4P6	HGNC:39069
AK5	HGNC:365
AK6	HGNC:49151
AK6P1	HGNC:51678
AK6P2	HGNC:51679
AK7	HGNC:20091
AK8	HGNC:26526
AK9	HGNC:33814
AKAIN1	HGNC:28285
AKAP1	HGNC:367
AKAP1-DT	HGNC:55339
AKAP2	HGNC:372
AKAP3	HGNC:373
AKAP4	HGNC:374
AKAP5	HGNC:375
AKAP6	HGNC:376
AKAP7	HGNC:377
AKAP8	HGNC:378
AKAP8L	HGNC:29857
AKAP8P1	HGNC:49758
AKAP9	HGNC:379
AKAP10	HGNC:368
AKAP11	HGNC:369
AKAP12	HGNC:370
AKAP13	HGNC:371
AKAP13-AS1	HGNC:55975
AKAP14	HGNC:24061
AKAP17A	HGNC:18783
AKAP17BP	HGNC:38514
AKIP1	HGNC:1170
AKIRIN1	HGNC:25744
AKIRIN1P1	HGNC:50794
AKIRIN1P2	HGNC:50797
AKIRIN2	HGNC:21407
AKIRIN2P1	HGNC:50796
AKNA	HGNC:24108
AKNAD1	HGNC:28398
AKR1A1	HGNC:380
AKR1B1	HGNC:381
AKR1B1P1	HGNC:420
AKR1B1P2	HGNC:425
AKR1B1P3	HGNC:422
AKR1B1P4	HGNC:423
AKR1B1P5	HGNC:20002
AKR1B1P6	HGNC:33498
AKR1B1P7	HGNC:33497
AKR1B1P8	HGNC:33496
AKR1B10	HGNC:382
AKR1B10P1	HGNC:45062
AKR1B10P2	HGNC:45063
AKR1B15	HGNC:37281
AKR1C1	HGNC:384
AKR1C2	HGNC:385
AKR1C3	HGNC:386
AKR1C4	HGNC:387
AKR1C5P	HGNC:44679
AKR1C6P	HGNC:44680
AKR1C7P	HGNC:44681
AKR1C8	HGNC:23469
AKR1D1	HGNC:388
AKR1D1P1	HGNC:11288
AKR1E2	HGNC:23437
AKR7A2	HGNC:389
AKR7A2P1	HGNC:24062
AKR7A2P2	HGNC:55059
AKR7A3	HGNC:390
AKR7L	HGNC:24056
AKT1	HGNC:391
AKT1S1	HGNC:28426
AKT2	HGNC:392
AKT3	HGNC:393
AKT3-IT1	HGNC:41304
AKTIP	HGNC:16710
AKTIPP1	HGNC:56419
AKTIPP2	HGNC:56420
AKTIPP3	HGNC:56421
ALAD	HGNC:395
ALAS1	HGNC:396
ALAS2	HGNC:397
ALB	HGNC:399
ALCAM	HGNC:400
ALDH1A1	HGNC:402
ALDH1A2	HGNC:15472
ALDH1A2-AS1	HGNC:27515
ALDH1A3	HGNC:409
ALDH1A3-AS1	HGNC:55416
ALDH1B1	HGNC:407
ALDH1L1	HGNC:3978
ALDH1L1-AS1	HGNC:40244
ALDH1L1-AS2	HGNC:42446
ALDH1L2	HGNC:26777
ALDH2	HGNC:404
ALDH3A1	HGNC:405
ALDH3A2	HGNC:403
ALDH3B1	HGNC:410
ALDH3B2	HGNC:411
ALDH4A1	HGNC:406
ALDH5A1	HGNC:408
ALDH6A1	HGNC:7179
ALDH7A1	HGNC:877
ALDH7A1P1	HGNC:878
ALDH7A1P2	HGNC:879
ALDH7A1P3	HGNC:880
ALDH7A1P4	HGNC:881
ALDH8A1	HGNC:15471
ALDH9A1	HGNC:412
ALDH16A1	HGNC:28114
ALDH18A1	HGNC:9722
ALDOA	HGNC:414
ALDOAP1	HGNC:415
ALDOAP2	HGNC:416
ALDOB	HGNC:417
ALDOC	HGNC:418
ALG1	HGNC:18294
ALG1L1P	HGNC:33721
ALG1L2	HGNC:37258
ALG1L3P	HGNC:44372
ALG1L5P	HGNC:44374
ALG1L6P	HGNC:44375
ALG1L7P	HGNC:44376
ALG1L8P	HGNC:44377
ALG1L9P	HGNC:44378
ALG1L10P	HGNC:44379
ALG1L11P	HGNC:44380
ALG1L12P	HGNC:44381
ALG1L13P	HGNC:44382
ALG1L14P	HGNC:44383
ALG1L15P	HGNC:44384
ALG2	HGNC:23159
ALG3	HGNC:23056
ALG3P1	HGNC:45159
ALG5	HGNC:20266
ALG6	HGNC:23157
ALG8	HGNC:23161
ALG9	HGNC:15672
ALG9-IT1	HGNC:41409
ALG10	HGNC:23162
ALG10B	HGNC:31088
ALG11	HGNC:32456
ALG12	HGNC:19358
ALG13	HGNC:30881
ALG13-AS1	HGNC:41277
ALG14	HGNC:28287
ALG14-AS1	HGNC:41192
ALK	HGNC:427
ALKAL1	HGNC:33775
ALKAL2	HGNC:27683
ALKBH1	HGNC:17911
ALKBH2	HGNC:32487
ALKBH3	HGNC:30141
ALKBH3-AS1	HGNC:48670
ALKBH4	HGNC:21900
ALKBH5	HGNC:25996
ALKBH6	HGNC:28243
ALKBH7	HGNC:21306
ALKBH8	HGNC:25189
ALLC	HGNC:17377
ALMS1	HGNC:428
ALMS1-IT1	HGNC:41305
ALMS1P1	HGNC:29586
ALOX5	HGNC:435
ALOX5AP	HGNC:436
ALOX12	HGNC:429
ALOX12-AS1	HGNC:51342
ALOX12B	HGNC:430
ALOX12P1	HGNC:431
ALOX12P2	HGNC:432
ALOX15	HGNC:433
ALOX15B	HGNC:434
ALOX15P1	HGNC:13742
ALOX15P2	HGNC:39027
ALOXE3	HGNC:13743
ALOXE3P1	HGNC:44238
ALPG	HGNC:441
ALPI	HGNC:437
ALPK1	HGNC:20917
ALPK2	HGNC:20565
ALPK3	HGNC:17574
ALPL	HGNC:438
ALPP	HGNC:439
ALPPP	HGNC:14016
ALS2	HGNC:443
ALS2CL	HGNC:20605
ALX1	HGNC:1494
ALX3	HGNC:449
ALX4	HGNC:450
ALYREF	HGNC:19071
AMACR	HGNC:451
AMBN	HGNC:452
AMBP	HGNC:453
AMBRA1	HGNC:25990
AMD1	HGNC:457
AMD1P1	HGNC:44898
AMD1P2	HGNC:460
AMD1P3	HGNC:51608
AMD1P4	HGNC:51609
AMDHD1	HGNC:28577
AMDHD2	HGNC:24262
AMELX	HGNC:461
AMELY	HGNC:462
AMER1	HGNC:26837
AMER2	HGNC:26360
AMER3	HGNC:26771
AMFR	HGNC:463
AMH	HGNC:464
AMHR2	HGNC:465
AMIGO1	HGNC:20824
AMIGO2	HGNC:24073
AMIGO3	HGNC:24075
AMLCR2	HGNC:466
AMMECR1	HGNC:467
AMMECR1-IT1	HGNC:41306
AMMECR1L	HGNC:28658
AMMECR1LP1	HGNC:39809
AMN	HGNC:14604
AMN1	HGNC:27281
AMOT	HGNC:17810
AMOTL1	HGNC:17811
AMOTL2	HGNC:17812
AMPD1	HGNC:468
AMPD2	HGNC:469
AMPD3	HGNC:470
